X,Y,LicenseNumber,FacilityTypeCode,FacilityType,Name,StreetAddress,City,State,Zip,County,TotalCapacity,ServesAdults,ServesChildren,AddressID,stdStreetAddress,stdCity,stdState,stdZip,Latitude,Longitude,ESRI_OID
-83.73453877,43.00956066,1010000001,1010,Freestanding Surgical Outpatient Facility,CUKROWSKI SURGERY CENTER,701 SOUTH BALLENGER HIGHWAY,FLINT,MI,48532,GENESEE,0,0,0,5501,701 S Ballenger Hwy,Flint,MI,48532,43.00956066,-83.73453877,1
-83.99420798,43.48368675,1010000002,1010,Freestanding Surgical Outpatient Facility,"MACKINAW SURGERY CENTER, LLC","5400 MACKINAW ROAD, SUITE 11",SAGINAW,MI,48604,SAGINAW,0,0,0,4837,5400 Mackinaw Rd,Saginaw,MI,48604,43.48368675,-83.99420798,2
-83.20308572,42.20607928,1010000005,1010,Freestanding Surgical Outpatient Facility,SOUTHGATE SURGERY CENTER,14050 DIX-TOLEDO ROAD,SOUTHGATE,MI,48195,WAYNE,0,0,0,968,14050 Dix Toledo Rd,Southgate,MI,48195,42.20607928,-83.20308572,3
-83.13801662,42.68212093,1010000006,1010,Freestanding Surgical Outpatient Facility,BALIAN EYE CENTER,432 W. UNIVERSITY DRIVE,ROCHESTER,MI,48307,OAKLAND,0,0,0,4252,432 W University Dr,Rochester,MI,48307,42.68212093,-83.13801662,4
-82.95313256,42.5397036,1010000007,1010,Freestanding Surgical Outpatient Facility,MICHIGAN OUTPATIENT SURGERY CENTER,33080 UTICA ROAD,FRASER,MI,48026,MACOMB,0,0,0,3473,33080 Utica Rd,Fraser,MI,48026,42.5397036,-82.95313256,5
-82.90366365,42.45365471,1010000009,1010,Freestanding Surgical Outpatient Facility,LAKESHORE SURGERY CENTER,21711 GREATER MACK AVENUE,ST CLAIR SHORES,MI,48080,MACOMB,0,0,0,2092,21711 Greater Mack Ave,Saint Clair Shores,MI,48080,42.45365471,-82.90366365,6
-88.0684315,45.80972492,1010000010,1010,Freestanding Surgical Outpatient Facility,JOHN MICHAEL GARRETT EYE CENTER PC,1301 SOUTH CARPENTER AVENUE,IRON MOUNTAIN,MI,49801,DICKINSON,0,0,0,779,1301 Carpenter Ave,Iron Mountain,MI,49801,45.80972492,-88.0684315,7
-83.12500992,42.64108709,1010000011,1010,Freestanding Surgical Outpatient Facility,MD SURGICENTER,375 BARCLAY CIRCLE,ROCHESTER HILLS,MI,48307,OAKLAND,0,0,0,3813,375 Barclay Cir,Rochester Hills,MI,48307,42.64108709,-83.12500992,8
-85.59051886,42.97483934,1010000012,1010,Freestanding Surgical Outpatient Facility,SURGICAL CARE CENTER OF MICHIGAN,750 EAST BELTLINE NE,GRAND RAPIDS,MI,49525,KENT,0,0,0,5703,750 E Beltline Ave NE,Grand Rapids,MI,49525,42.97483934,-85.59051886,9
-83.17066468,42.63826542,1010000014,1010,Freestanding Surgical Outpatient Facility,"OAKLAND SURGI CENTER, INC","2820 CROOKS ROAD, SUITE 200",ROCHESTER HILLS,MI,48309,OAKLAND,0,0,0,2861,2820 Crooks Rd,Rochester Hills,MI,48309,42.63826542,-83.17066468,10
-87.41586719,46.55692644,1010000015,1010,Freestanding Surgical Outpatient Facility,SUPERIOR ENDOSCOPY CENTER,"1414 W. FAIR AVENUE, SUITE 135",MARQUETTE,MI,49855,MARQUETTE,0,0,0,993,1414 W Fair Ave,Marquette,MI,49855,46.55692644,-87.41586719,11
-82.90885925,42.50862122,1010000016,1010,Freestanding Surgical Outpatient Facility,EASTSIDE ENDOSCOPY CENTER,28963 LITTLE MACK,SAINT CLAIR SHORES,MI,48081,MACOMB,0,0,0,16040,28963 Little Mack Ave,St Clair Shores,MI,48081,42.50862122,-82.90885925,12
-84.5306672,42.76072149,1010000017,1010,Freestanding Surgical Outpatient Facility,LANSING SURGERY CENTER,1707 LAKE LANSING ROAD,LANSING,MI,48912,INGHAM,0,0,0,1435,1707 Lake Lansing Rd,Lansing,MI,48912,42.76072149,-84.5306672,13
-85.64400941,42.20217875,1010000018,1010,Freestanding Surgical Outpatient Facility,ENDOSCOPY AND SURGERY CENTER AT WOODBRIDGE HILLS,7901 ANGLING ROAD,PORTAGE,MI,49024,KALAMAZOO,0,0,0,5802,7901 Angling Rd,Portage,MI,49024,42.20217875,-85.64400941,14
-85.60282857,42.98422499,1010000019,1010,Freestanding Surgical Outpatient Facility,GRAND VALLEY SURGICAL CENTER,2680 LEONARD STREET NE,GRAND RAPIDS,MI,49525,KENT,0,0,0,2720,2680 Leonard St NE,Grand Rapids,MI,49525,42.98422499,-85.60282857,15
-84.50269291,42.68274938,1010000020,1010,Freestanding Surgical Outpatient Facility,GENESIS SURGERY CENTER,3400 E. JOLLY ROAD,LANSING,MI,48910,INGHAM,0,0,0,3551,3400 E Jolly Rd,Lansing,MI,48910,42.68274938,-84.50269291,16
-84.37220179,42.27603897,1010000021,1010,Freestanding Surgical Outpatient Facility,BLAKE WOODS MEDICAL PARK SURGERY CENTER,2775 BLAKE ROAD,JACKSON,MI,49201,JACKSON,0,0,0,2819,2775 Blake Rd,Jackson,MI,49201,42.27603897,-84.37220179,17
-85.19873112,42.2493483,1010000022,1010,Freestanding Surgical Outpatient Facility,BROOKSIDE SURGERY CENTER,"3600 W. CAPITAL AVENUE S.W., SUITE 101",BATTLE CREEK,MI,49015,CALHOUN,0,0,0,3716,3600 Capital Ave SW,Battle Creek,MI,49015,42.2493483,-85.19873112,18
-85.65134874,44.76222773,1010000023,1010,Freestanding Surgical Outpatient Facility,"THE SURGERY CENTER, PLC",5080 NORTH ROYAL DRIVE,TRAVERSE CITY,MI,49684,GRAND TRAVERSE,0,0,0,4659,5080 N Royal Dr,Traverse City,MI,49684,44.76222773,-85.65134874,19
-84.50361107,42.75741419,1010000024,1010,Freestanding Surgical Outpatient Facility,MICHIGAN SURGICAL CENTER,2075 COOLIDGE ROAD,EAST LANSING,MI,48823,INGHAM,0,0,0,1947,2075 Coolidge Rd,East Lansing,MI,48823,42.75741419,-84.50361107,20
-83.77887807,42.97431439,1010000025,1010,Freestanding Surgical Outpatient Facility,THE SURGERY CENTER OF GENESEE COUNTY,5202 MILLER ROAD,FLINT,MI,48507,GENESEE,0,0,0,4740,5202 Miller Rd,Flint,MI,48507,42.97431439,-83.77887807,21
-83.16996085,42.50061265,1010000027,1010,Freestanding Surgical Outpatient Facility,"THE CATARACT SPECIALTY SURGICAL CENTER, LLC","28747 WOODWARD AVENUE, LOWER LEVEL",BERKLEY,MI,48072,OAKLAND,0,0,0,2909,28747 Woodward Ave,Berkley,MI,48072,42.50061265,-83.16996085,22
-83.35890198,42.53384018,1010000028,1010,Freestanding Surgical Outpatient Facility,AMERICAN SURGICAL CENTERS,7091 ORCHARD LAKE ROAD,WEST BLOOMFIELD,MI,48322,OAKLAND,0,0,0,16288,7091 Orchard Lake Rd,West Bloomfield,MI,48322,42.53384018,-83.35890198,23
-83.17048645,42.58827972,1010000030,1010,Freestanding Surgical Outpatient Facility,SURGICAL CENTERS OF MICHIGAN,4600 INVESTMENT DRIVE,TROY,MI,48098,OAKLAND,0,0,0,16188,4600 Investment Dr,Troy,MI,48098,42.58827972,-83.17048645,24
-83.0074472,42.62314701,1010000032,1010,Freestanding Surgical Outpatient Facility,SURGERY CENTER OF MICHIGAN,"44650 DELCO BOULEVARD, SUITE 200",STERLING HEIGHTS,MI,48313,MACOMB,0,0,0,4347,44650 Delco Blvd,Sterling Heights,MI,48313,42.62314701,-83.0074472,25
-83.32072889,42.50723666,1010000033,1010,Freestanding Surgical Outpatient Facility,MICHIGAN ENDOSCOPY CENTER,"30055 NORTHWESTERN HIGHWAY, SUITE L-60",FARMINGTON HILLS,MI,48334,OAKLAND,0,0,0,3067,30055 Northwestern Hwy,Farmington Hills,MI,48334,42.50723666,-83.32072889,26
-83.27760732,42.32702697,1010000034,1010,Freestanding Surgical Outpatient Facility,"ASSOCIATED SURGICAL CENTER OF DEARBORN, LLC",24420 FORD ROAD,DEARBORN HEIGHTS,MI,48127,WAYNE,0,0,0,2448,24420 Ford Rd,Dearborn Heights,MI,48127,42.32702697,-83.27760732,361
-83.15155029,42.5489502,1010000035,1010,Freestanding Surgical Outpatient Facility,GASTROINTESTINAL ENDOSCOPY CENTER,264 W MAPLE ROAD,TROY,MI,48084,OAKLAND,0,0,0,16009,264 W Maple Rd,Troy,MI,48084,42.5489502,-83.15155029,362
-82.95124813,42.57160162,1010000036,1010,Freestanding Surgical Outpatient Facility,ASC-TCG LLC,"37399 GARFIELD, SUITE 100",CLINTON TOWNSHIP,MI,48036,MACOMB,0,0,0,3803,37399 Garfield Rd Ste 100,Clinton Township,MI,48036,42.57160162,-82.95124813,363
-83.18249618,42.68099757,1010000037,1010,Freestanding Surgical Outpatient Facility,KUMAR SURGICAL CENTER,2450 WALTON BOULEVARD,ROCHESTER HILLS,MI,48309,OAKLAND,0,0,0,2471,2450 Walton Blvd,Rochester Hills,MI,48309,42.68099757,-83.18249618,364
-85.65356365,44.74481253,1010000038,1010,Freestanding Surgical Outpatient Facility,COPPER RIDGE SURGERY CENTER,4100 PARK FOREST DRIVE,TRAVERSE CITY,MI,49684,GRAND TRAVERSE,0,0,0,4075,4100 Park Forest Dr,Traverse City,MI,49684,44.74481253,-85.65356365,365
-83.16973614,42.58828394,1010000039,1010,Freestanding Surgical Outpatient Facility,UNASOURCE SURGERY CENTER,"4550 INVESTMENT DRIVE, SUITE 100",TROY,MI,48098,OAKLAND,0,0,0,4386,4550 Investment Dr,Troy,MI,48098,42.58828394,-83.16973614,366
-82.45601325,43.0301575,1010000041,1010,Freestanding Surgical Outpatient Facility,"LAKESHORE SURGERY CENTER, LLP",4190 24TH AVENUE,FORT GRATIOT,MI,48059,SAINT CLAIR,0,0,0,4157,4190 24th Ave,Fort Gratiot,MI,48059,43.0301575,-82.45601325,367
-83.6586585,42.26593137,1010000042,1010,Freestanding Surgical Outpatient Facility,"CENTER FOR DIGESTIVE CARE, LLC",5300 ELLIOTT DRIVE,YPSILANTI,MI,48197,WASHTENAW,0,0,0,4791,5300 Elliott Dr,Ypsilanti,MI,48197,42.26593137,-83.6586585,368
-85.57041225,42.94417416,1010000045,1010,Freestanding Surgical Outpatient Facility,"EAST PARIS SURGICAL CENTER, LLC","1000 EAST PARIS AVENUE SE, SUITE LL01",GRAND RAPIDS,MI,49546,KENT,0,0,0,36,1000 East Paris Ave SE,Grand Rapids,MI,49546,42.94417416,-85.57041225,369
-85.62727237,42.1976558,1010000046,1010,Freestanding Surgical Outpatient Facility,SURGERY CENTER OF KALAMAZOO,"3200 WEST CENTRE, SUITE 101",PORTAGE,MI,49024,KALAMAZOO,0,0,0,3329,3200 W Centre Ave,Portage,MI,49024,42.1976558,-85.62727237,370
-83.43889943,42.55633141,1010000047,1010,Freestanding Surgical Outpatient Facility,LAKES SURGERY CENTER,"2300 HAGGERTY ROAD, SUITE 1000",WEST BLOOMFIELD,MI,48323,OAKLAND,0,0,0,2263,2300 Haggerty Rd,West Bloomfield,MI,48323,42.55633141,-83.43889943,371
-83.21245725,42.29228144,1010000048,1010,Freestanding Surgical Outpatient Facility,DEARBORN SURGERY CENTER,"18100 OAKWOOD BLVD, SUITE 100",DEARBORN,MI,48124,WAYNE,0,0,0,1584,18100 Oakwood Blvd,Dearborn,MI,48124,42.29228144,-83.21245725,372
-83.26119157,42.47946396,1010000049,1010,Freestanding Surgical Outpatient Facility,"GREAT LAKES SURGICAL CENTER, LLC",26051 LAHSER ROAD,SOUTHFIELD,MI,48033,OAKLAND,0,0,0,2630,26051 Lahser Rd,Southfield,MI,48033,42.47946396,-83.26119157,373
-83.12513587,42.64147004,1010000050,1010,Freestanding Surgical Outpatient Facility,ROCHESTER SURGERY CENTER,405 BARCLAY CIRCLE,ROCHESTER HILLS,MI,48307,OAKLAND,0,0,0,4037,405 Barclay Cir,Rochester Hills,MI,48307,42.64147004,-83.12513587,374
