OBJECTID,ENTITYID,ENTITYCD,COMMONNM,OFFICIALNM,NAMEUPDT,ENTTYPEID,ENTTYPENM,OPENDATE,CLOSEDATE,STATUS,AUTHGRADES,ACTGRADES,GRADESUPDT,AUTHEDSET,ACTEDSET,EDSETUPDT,ADDRESSID,ADDRTYPEID,STREET,ADDRLINE2,CITY,STATE,ZIP,ADDRUPDT,GEOCODE,CGISTATID,CGISTATDT,XLOCATION,YLOCATION,LATITUDE,LONGITUDE,MIHOUSE,MISENATE,USCONGRESS,BLKGRP,CIVILDIV,FIPSCNTY,COUNTY,DISTCODE,IGNOREFLAG,ROOFTOP,x,y
18,252,8450, ,Countryside Academy - Middle/High School,17-Jul-14,26,PSA School,29-May-97,,Open-Active,12-Feb,12-Jun,5-Feb-20,"GenEd,SpecEd,SuppVirt","GenEd,SpecEd,SuppVirt",2-Sep-20,52901,2,4800 MEADOWBROOK RD, ,BENTON HARBOR,MI,49022-9629,3-Apr-22, ,2,22-Mar-22,471617.0745,169901.3513,42.07933,-86.34193,79,21,6,24002,7400,21,Berrien,4830,0, ,-9611539.682,5172870.11
20,277,8482, ,Hillsdale Preparatory School,5-Oct-08,26,PSA School,24-Aug-97,,Open-Active,"KG, 1-8","KG, 1-8",2-Feb-09,"GenEd,SpecEd","GenEd,SpecEd",22-Sep-21,53827,2,160 MECHANIC RD, ,HILLSDALE,MI,49242-1053,3-Apr-22, ,2,22-Mar-22,612260.7243,154755.4525,41.93464,-84.64496,58,16,7,505001,38460,59,Hillsdale,18390,0, ,-9422633.845,5151193.856
21,302,8246, ,Excel Charter Academy,5-Oct-08,26,PSA School,5-Sep-95,,Open-Active,"KG,KG-Part,1-12","KG,KG-Part,1-8",1-Jul-19,"GenEd,SpecEd","GenEd,SpecEd",18-Nov-13,54156,2,4201 BRETON RD SE, ,GRAND RAPIDS,MI,49512-3857,3-Apr-22, ,2,22-Mar-22,531976.0553,259859.6256,42.88894,-85.60683,76,29,3,45003,34000,81,Kent,20340,0, ,-9529708.724,5295082.631
23,327,9077, ,Merritt Academy,5-Oct-08,26,PSA School,26-Aug-02,,Open-Active,"KG,1-12","KG,1-12",30-Jun-12,"GenEd,PK,SpecEd,SuppVirt","GenEd,PK,SpecEd,SuppVirt",2-Sep-20,54998,2,59900 HAVENRIDGE RD, ,NEW HAVEN,MI,48048-1915,3-Apr-22, ,2,22-Mar-22,761735.4943,248406.5968,42.740962,-82.800124,33,8,10,2180001,46900,99,Macomb,25230,0,Y,-9217267.641,5272626.369
28,413,8456, ,Detroit Community Schools - High School,17-Jul-14,26,PSA School,1-Jun-97,,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",30-Aug-20,56866,2,12675 BURT RD, ,DETROIT,MI,48223-3314,3-Apr-22, ,2,22-Mar-22,726526.542,207051.6523,42.38009,-83.24662,8,3,13,5439002,22000,163,Wayne,1103,0, ,-9266971.349,5218086.225
68,1038,922, ,Dix Street Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK-Part, KG, 1-5","DevK-Part, KG, 1-5",26-Aug-09,"GenEd,PK,SpecEd,Tuit,PCE,SuppVirt","GenEd,PK,SpecEd,Tuit,PCE,SuppVirt",14-Mar-21,49979,2,503 DIX ST, ,OTSEGO,MI,49078-1500,3-Apr-22, ,2,22-Mar-22,525427.2662,211427.9696,42.453094,-85.68944,80,26,6,319002,61620,5,Allegan,27060,0,Y,-9538904.827,5229094.229
70,1063,2402, ,Martin High School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,12-Jun,12-Jun,30-Jul-20,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",7-Mar-21,49989,2,1556 CHALMERS, ,MARTIN,MI,49070-9762,3-Apr-22, ,2,22-Mar-22,529753.381,220752.1091,42.53688,-85.6363,80,26,6,313002,52000,5,Allegan,22980,0, ,-9532989.309,5241743.838
71,1081,106, ,Besser Elementary School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"DevK,KG,1-5","DevK,KG,1-5",15-Nov-21,"GenEd,Alt,SpecEd,SuppVirt","GenEd,Alt,SpecEd,SuppVirt",2-Sep-20,49944,2,375 WILSON ST, ,ALPENA,MI,49707-1423,3-Apr-22, ,2,22-Mar-22,700297.985,506812.6254,45.084715,-83.452747,106,36,1,3004,1740,7,Alpena,2730,0,Y,-9289917.301,5634868.003
75,1145,8914, ,Bay City Adult Education/CTP,5-Oct-08,18,LEA School,31-Aug-01,,Open-Active,12-Sep,12-Sep,5-Oct-08,"GenEd,Alt,AdultEd,PCE","GenEd,Alt,AdultEd,PCE",8-Nov-17,50125,2,4155 MONITOR RD, ,BAY CITY,MI,48706-9211,3-Apr-22, ,2,22-Mar-22,665942.6485,342909.975,43.618685,-83.941323,96,31,5,2857001,54980,17,Bay,4260,0,Y,-9344305.333,5406621.19
76,1170,194, ,Bangor West Central School,5-Oct-08,18,LEA School,"December 31, 1899",,Open-Active,"KG,1-5","KG,1-5",24-Sep-09,"GenEd, SchlChoice, SpecEd","GenEd, SchlChoice, SpecEd",14-Jan-14,50151,2,3175 WILDER RD, ,BAY CITY,MI,48706-2361,3-Apr-22, ,2,22-Mar-22,667220.4795,343610.852,43.624706,-83.925274,96,31,5,2858001,5120,17,Bay,3900,0,Y,-9342518.766,5407547.071
