OBJECTID,WSSN,SYSTEM,TYPE,APPROVAL_D,michiganWE,ShapeSTAre,ShapeSTLen,ORIG_FID,POINT_X,POINT_Y
1,04340,Michigan State University,Traditional Wellhead Protection Area Delineation,3/26/2014,,22139026.413600000000000,30680.422124800000000,0,-84.47712230740,42.69412038750
2,06725,"UNION TOWNSHIP (1, 2, 7)",Traditional Wellhead Protection Area Delineation,9/25/2013,,8349395.526990000000000,10843.355666600000000,1,-84.75262508030,43.55996420130
3,06725,"UNION TOWNSHIP (8, 9)",Traditional Wellhead Protection Area Delineation,9/25/2013,,9196879.479500000000000,11391.184162600000000,2,-84.77055144920,43.56506478680
4,06725,"UNION TOWNSHIP (3, 4)",Traditional Wellhead Protection Area Delineation,9/25/2013,,4834677.015380000000000,7884.379885080000000,3,-84.85258323580,43.60382910560
5,02480,FREEPORT,Traditional Wellhead Protection Area Delineation,10/25/2012,,12905728.465800000000000,13422.717259900000000,4,-85.31722436730,42.74936752610
6,01935,East Bay Twp.,Traditional Wellhead Protection Area Delineation,10/14/2002,,5813617.968490000000000,10496.170417700000000,5,-85.54630614000,44.70503669900
7,01935,East Bay Twp.,Traditional Wellhead Protection Area Delineation,10/14/2002,,4014333.042170000000000,11014.581879400000000,6,-85.49285231130,44.72806790310
8,05770,Rogers City,Traditional Wellhead Protection Area Delineation,3/6/2001,,3545025.883850000000000,7453.193424310000000,7,-83.81535756650,45.41708922310
9,00220,Ann Arbor,Traditional Wellhead Protection Area Delineation,10/29/2002,,15888422.369500000000000,14387.541780000000000,8,-83.77521498120,42.27506639960
10,00020,Adams Twp.,Traditional Wellhead Protection Area Delineation,6/9/2003,,13330353.966200000000000,12988.711794200000000,9,-88.67770356380,47.03064648730
11,00743,Blair Twp.,Traditional Wellhead Protection Area Delineation,11/12/2003,,6339934.962310000000000,8995.663333820000000,10,-85.69282597110,44.65386330020
12,02090,Elk Rapids,Traditional Wellhead Protection Area Delineation,11/12/2003,,1488779.401390000000000,5046.478858770000000,11,-85.39874159940,44.90060348850
13,04240,Mendon,Traditional Wellhead Protection Area Delineation,9/23/2003,,12151829.963000000000000,13235.528606000000000,12,-85.44438156490,42.01682723130
14,03030,Harrison,Traditional Wellhead Protection Area Delineation,7/28/2003,,4056781.187380000000000,7465.577515480000000,13,-84.81278200370,44.02567393700
15,01600,Constantine,Traditional Wellhead Protection Area Delineation,7/24/2003,,2920205.364630000000000,7106.608596870000000,14,-85.65640482320,41.82928081060
16,03650,Kingsley,Traditional Wellhead Protection Area Delineation,8/11/2003,,3439674.486170000000000,9408.503256380000000,15,-85.53122864930,44.58364246250
17,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,84578514.052700000000000,59869.805107500000000,16,-85.60289548520,42.26239515750
18,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,7011840.606030000000000,10307.425202700000000,17,-85.64879047380,42.24654607910
19,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,19946597.417300000000000,16274.609695300000000,18,-85.67407447670,42.22335749470
20,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,9826277.839950000000000,16120.344993100000000,19,-85.53328304770,42.32009104770
21,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,4489678.915400000000000,8048.125150680000000,20,-85.55136041880,42.29437326510
22,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,15814571.245700000000000,16207.704306800000000,21,-85.44701596370,42.25732984140
23,03520,Kalamazoo,Traditional Wellhead Protection Area Delineation,3/5/2002,,30905153.003000000000000,21545.481161400000000,22,-85.46969930730,42.32893191480
24,00860,Brighton,Traditional Wellhead Protection Area Delineation,11/14/2002,,17680733.775700000000000,29536.749196800000000,23,-83.79851795000,42.55255678300
25,06420,Stockbridge,Traditional Wellhead Protection Area Delineation,10/29/2002,,7041904.216410000000000,9440.175849290000000,24,-84.17847822720,42.44755647120
26,03312,Highland Twp.,Traditional Wellhead Protection Area Delineation,10/29/2002,,4923438.924090000000000,8762.975772510000000,25,-83.61021513960,42.67982960840
27,03312,Highland Twp.,Traditional Wellhead Protection Area Delineation,10/29/2002,,13676326.098700000000000,13396.739787400000000,26,-83.63569282130,42.63943323890
28,03312,Highland Twp.,Traditional Wellhead Protection Area Delineation,10/29/2002,,4348632.905410000000000,7931.884273320000000,27,-83.60279294140,42.64860884310
29,05730,Rockford,Traditional Wellhead Protection Area Delineation,11/4/2002,,5368703.303510000000000,10712.188692900000000,28,-85.52599862740,43.11089067150
30,01920,Eagle Harbor Twp.,Traditional Wellhead Protection Area Delineation,6/10/2002,,1359993.011570000000000,5626.896183850000000,29,-88.17744874120,47.44811970020
31,05240,Pentland Twp.,Traditional Wellhead Protection Area Delineation,3/4/2002,,1024514.818610000000000,4206.762299750000000,30,-85.50914629520,46.32577973540
32,05240,Pentland Twp.,Traditional Wellhead Protection Area Delineation,3/4/2002,,979401.756816000000000,4325.457669530000000,31,-85.48737482830,46.29398259510
33,01046,Calumet Township - MAWC,Traditional Wellhead Protection Area Delineation,3/1/2002,,2421902.888820000000000,6422.812788490000000,32,-88.52374431090,47.27258765960
34,05204,Parma,Traditional Wellhead Protection Area Delineation,3/4/2002,,2244216.244150000000000,5895.221418460000000,33,-84.55806673660,42.25890475490
35,07100,Whitehall,Traditional Wellhead Protection Area Delineation,2/11/2002,,4701195.278430000000000,10171.469427000000000,34,-86.32324835330,43.39378868370
36,00710,Big Rapids,Traditional Wellhead Protection Area Delineation,2/11/2002,,2567372.140340000000000,6857.196800070000000,35,-85.51109011080,43.72041932230
37,03980,Mackinaw City,Traditional Wellhead Protection Area Delineation,11/8/2001,,25514227.719900000000000,20929.070614900000000,36,-84.74126936940,45.76442839740
38,05370,Plainfield Twp.,Traditional Wellhead Protection Area Delineation,1/9/2002,,3988567.140740000000000,9131.242855470000000,37,-85.58258268940,43.05448675230
39,00877,Briley Twp.,Traditional Wellhead Protection Area Delineation,11/1/2001,,3299884.010680000000000,11024.708681400000000,38,-84.14427882990,45.02134017770
40,07103,Crystal River Water Company,Traditional Wellhead Protection Area Delineation,11/5/2001,,2759400.775260000000000,10389.696421700000000,39,-85.94861950310,44.91296519890
41,00450,Battle Creek- Columbia,Traditional Wellhead Protection Area Delineation,7/17/2001,,18039868.304300000000000,15455.229114800000000,40,-85.25208008320,42.28698852200
42,03060,Hart,Traditional Wellhead Protection Area Delineation,7/12/2001,,1125435.696400000000000,7882.423125100000000,41,-86.35644293630,43.71466353900
43,03060,Hart,Traditional Wellhead Protection Area Delineation,7/12/2001,,8229856.126540000000000,14807.400909600000000,42,-86.36533794820,43.66380724450
44,03060,Hart,Traditional Wellhead Protection Area Delineation,7/12/2001,,2618150.281990000000000,12029.268503200000000,43,-86.38497991940,43.67139924280
45,03400,Iron Mountain,Traditional Wellhead Protection Area Delineation,6/28/2001,,5740541.516210000000000,15650.831023300000000,44,-88.07168345800,45.84222601890
46,03640,Kingsford,Traditional Wellhead Protection Area Delineation,7/2/2001,,3264001.917280000000000,7402.321218060000000,45,-88.10350900140,45.81878543170
47,03640,Kingsford,Traditional Wellhead Protection Area Delineation,7/2/2001,,5394303.081570000000000,13906.159137000000000,46,-88.14018541010,45.81369467560
